species_name,tax_id,species_url
Lapidilactobacillus achengensis,2486000,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/2486000
Lapidilactobacillus bayanensis,2485998,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/2485998
Lapidilactobacillus concavus,287844,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/287844
Lapidilactobacillus dextrinicus,51664,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/51664
Lapidilactobacillus gannanensis,2486002,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/2486002
Lapidilactobacillus luobeiensis,2950371,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/2950371
Lapidilactobacillus mulanensis,2485999,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/2485999
Lapidilactobacillus wuchangensis,2486001,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/2486001
