species_name,tax_id,species_url
Periweissella beninensis,504936,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=504936
Periweissella cryptocerci,2506420,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=2506420
Periweissella fabalis,1070421,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=1070421
Periweissella fabaria,546157,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=546157
Periweissella ghanensis,467997,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/tree/?taxon=467997
